,58,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,
Racks In Position,0,,ATN1,0,0,0,,,Color Guide,,,,,,,,
Racks Pending Position,58,,ATN2,0,15,15,,,ISSUE,,,,,,,,
SLC Completed,0,,ATN3,0,15,15,,,HIGH-PRI ,,,,,,,,
Racks Pending L2+ Audit Completion,0,,ATN4,0,0,0,,,Good/Completed,,,,,,,,
Work % Complete,0.0%,,ATN5,0,0,0,,,,,,,,,,,
,,,ATN6,0,0,0,,,,,,,,,,,
,,,ATN7,0,28,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp
Milestone,Set Only,Inbound Receipt,12525137, , ,,ATN7,ATN7.7A.04.31,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12525224, , ,,ATN7,ATN7.7A.04.35,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495936, , ,,ATN7,ATN7.7A.06.38,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495868, , ,,ATN7,ATN7.7A.09.24,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12496333, , ,,ATN7,ATN7.7A.24.34,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495805, , ,,ATN7,ATN7.7A.28.10,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495884, , ,,ATN7,ATN7.7A.28.13,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12525016, , ,,ATN7,ATN7.7A.30.04,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495991, , ,,ATN7,ATN7.7A.53.33,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495904, , ,,ATN7,ATN7.7A.56.19,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495974, , ,,ATN7,ATN7.7A.59.31,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495822, , ,,ATN7,ATN7.7A.60.12,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495934, , ,,ATN7,ATN7.7A.62.26,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495824, , ,,ATN7,ATN7.7A.66.22,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495871, , ,,ATN7,ATN7.7A.70.04,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12495972, , ,,ATN7,ATN7.7A.70.10,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12496610, , ,,ATN7,ATN7.7A.70.15,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12525036, , ,,ATN7,ATN7.7A.70.21,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12525070, , ,,ATN7,ATN7.7A.70.24,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12525107, , ,,ATN7,ATN7.7A.70.26,,,FALSE,FALSE,FALSE,Set Only ,,,
