,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50332656,ATN3,ATN3.3A.27F.22,,ATN7,ATN7.7A.62.39,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50126965,ATN3,ATN3.3C.11B.12,,ATN7,ATN7.7A.16.12,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50160121,ATN3,ATN3.3C.14B.03,,ATN7,ATN7.7A.27.13,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50197608,ATN3,ATN3.3C.18F.03,,ATN7,ATN7.7A.13.38,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50159504,ATN3,ATN3.3C.24F.05,,ATN7,ATN7.7A.23.37,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50408366,ATN3,ATN3.3B.13F.06,,ATN7,ATN7.7A.26.23,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50432905,ATN3,ATN3.3B.12F.17,,ATN7,ATN7.7A.24.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50423146,ATN3,ATN3.3D.14F.15,,ATN7,ATN7.7A.13.19,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50423126,ATN3,ATN3.3B.08F.05,,ATN7,ATN7.7A.23.02,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50408349,ATN3,ATN3.3B.09F.14,,ATN7,ATN7.7A.26.26,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
