,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50171058,ATN2,ATN2.2A.19B.24,,ATN5,ATN5.5B.28B.09,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50132575,ATN2,ATN2.2A.32B.26,,ATN5,ATN5.5D.09B.14,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50165982,ATN2,ATN2.2B.33F.28,,ATN5,ATN5.5B.14B.08,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,,,,,,,,FALSE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50182428,ATN3,ATN3.3A.09F.01,,ATN7,ATN7.7A.59.02,,FALSE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",Area blocked off by red tape by maintenance,Area blocked off by red tape by maintenance could not move 2/18,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50283589,ATN3,ATN3.3A.09F.19,,ATN7,ATN7.7A.17.01,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,12497363,ATN3,ATN3.3A.18F.13,,ATN7,ATN7.7A.17.38,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,12497275,ATN3,ATN3.3A.21F.12,,ATN7,ATN7.7A.22.18,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187255,ATN3,ATN3.3B.29B.02,,ATN7,ATN7.7A.20.05,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50160205,ATN3,ATN3.3C.16F.06,,ATN7,ATN7.7A.65.09,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50159741,ATN3,ATN3.3C.23B.12,,ATN7,ATN7.7A.24.35,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50135106,ATN3,ATN3.3C.26B.06,,ATN1,ATN1.1C.26F.01,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50334629,ATN3,ATN3.3C.28B.21,,ATN6,ATN6.6A.29B.26,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50135105,ATN3,ATN3.3D.14B.01,,ATN1,ATN1.1A.11B.02,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50333401,ATN3,ATN3.3D.17B.07,,ATN6,ATN6.6B.08F.27,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122073,ATN3,ATN3.3D.19F.15,,ATN7,ATN7.7A.68.17,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50324678,ATN3,ATN3.3D.20F.08,,ATN7,ATN7.7A.07.28,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122063,ATN3,ATN3.3D.28B.21,,ATN7,ATN7.7A.65.20,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2/18 Move Added,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,,,,,,,,FALSE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50432977,ATN6,ATN6.6B.08B.06,,ATN7,ATN7.7A.09.15,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50417642,ATN6,ATN6.6B.10F.02,,ATN7,ATN7.7A.06.26,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11661121,ATN6,ATN6.6B.24B.24,,ATN7,ATN7.7A.10.03,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50437609,ATN6,ATN6.6B.25F.24,,ATN7,ATN7.7A.05.21,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50076140,ATN6,ATN6.6C.11F.02,,ATN5,ATN5.5B.10F.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50135336,ATN6,ATN6.6C.18B.07,,ATN7,ATN7.7A.15.30,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50083189,ATN6,ATN6.6D.18B.24,,ATN5,ATN5.5D.04F.21,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50367148,ATN6,ATN6.6D.19F.23,,ATN7,ATN7.7A.13.23,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50018131,ATN2,ATN2.2D.12B.17,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50014555,ATN2,ATN2.2D.19F.26,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50017500,ATN2,ATN2.2D.31B.05,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50017015,ATN2,ATN2.2D.32F.23,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50009487,ATN3,ATN3.3A.16F.23,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50010014,ATN3,ATN3.3B.08F.22,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50034152,ATN5,ATN5.5D.10B.13,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
Milestone,Decom Only,Rack Decom,50032882,ATN5,ATN5.5D.19B.06,,,,,TRUE,,,TRUE,Decom Only,,new ,,,,,,,,,,,,
